-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 
Location: Latitude  28.7041   Longitude 77.1025 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DNI       CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (kW-hr/m^2/day) 
ALLSKY_SFC_SW_DIFF      CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M                    MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M                    MERRA-2 Relative Humidity at 2 Meters (%) 
PS                      MERRA-2 Surface Pressure (kPa) 
WS10M_MAX               MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN               MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M_MAX,T2M_MIN,QV2M,RH2M,PS,WS10M_MAX,WS10M_MIN
2023,2,19,4.58,3.58,2.33,0.6,349.49,81.8,87.1,9.84,0.23,1.21,31.48,16.77,4.58,27.5,98.69,2.52,0.3
2023,2,20,5.06,5.01,2.07,0.66,344.02,91.07,96.19,11.23,0.27,1.45,34.25,14.09,5.43,34.31,98.4,4.32,1.06
2023,2,21,5.24,5.99,1.68,0.67,337.09,93.83,93.81,11.37,0.27,1.34,32.12,12.65,5.07,35.44,98.36,5.21,1.97
2023,2,22,4.12,2.44,2.68,0.52,354.9,74.55,84.87,8.9,0.22,1.18,30.14,12.19,5.13,38.44,98.56,3.53,0.25
2023,2,23,5.5,6.6,1.57,0.7,314.49,96.41,96.32,11.69,0.28,1.42,30.75,11.82,4.46,33.88,98.58,5.52,2.62
2023,2,24,4.91,3.89,2.62,0.62,317.9,86.64,94.92,10.57,0.24,1.23,31.12,11.53,4.46,32.75,98.75,4.3,1.8
2023,2,25,5.31,6.01,1.69,0.66,325.82,94.57,94.5,11.34,0.26,1.29,31.48,14.07,5.31,33.81,98.9,3.08,1.62
2023,2,26,5.16,5.35,1.89,0.64,339.07,92.66,93.22,11.07,0.23,1.11,32.12,14.62,5.62,33.5,99.03,2.38,0.55
2023,2,27,5.09,4.84,2.05,0.62,350.12,91.53,92.43,10.95,0.21,1.04,32.62,17.2,5.92,34.88,98.97,3.45,0.92
2023,2,28,4.77,3.76,2.39,0.59,365.67,86.74,91.98,10.49,0.23,1.14,32.57,15.78,6.1,38.31,98.98,3.52,0.68
2023,3,1,4.16,2.98,2.34,0.51,373.47,76.52,92.13,9.45,0.2,1.05,32.26,15.22,6.1,38.56,99.1,2.83,0.62
2023,3,2,5.28,5.6,1.8,0.64,353.91,96.45,96.44,11.62,0.26,1.3,32.35,14.87,6.65,41.38,99.16,4.2,1.91
2023,3,3,5.46,6.02,1.73,0.66,346.75,99.41,99.34,12.02,0.27,1.4,33.25,16.24,7.2,43.19,99.16,4.82,2.49
2023,3,4,3.54,1.83,2.54,0.42,369.16,66.66,98.48,8.48,0.2,1.07,31.97,15.45,6.41,39.94,99.19,4.33,2.53
2023,3,5,5.59,6.08,1.74,0.66,350.41,102.11,102.34,12.46,0.29,1.46,32.33,14.65,6.41,39.81,99.08,4.27,2.3
2023,3,6,5.95,7.21,1.48,0.7,337.31,107.7,107.48,13.27,0.32,1.62,32.25,14.78,5.74,35.75,98.86,5.02,2.39
2023,3,7,5.57,5.55,1.99,0.66,349.6,101.49,104.12,12.47,0.3,1.54,32.28,15.89,5.37,31.44,98.84,3.52,0.62
2023,3,8,5.23,4.79,2.21,0.61,359.52,95.5,99.98,11.57,0.3,1.55,31.73,18.46,5.8,31.06,98.94,2.08,0.14
2023,3,9,4.65,3.28,2.46,0.54,376.51,85.34,93.47,10.17,0.25,1.28,31.08,16.76,6.77,38.81,98.94,1.61,0.31
2023,3,10,5.5,5.54,1.94,0.63,350.75,98.84,98.88,11.75,0.28,1.45,31.85,15.89,5.55,32.38,98.84,3.6,1.09
2023,3,11,5.76,6.17,1.77,0.66,352.66,104.34,104.2,12.63,0.3,1.52,33.16,16.03,5.0,28.19,98.81,3.02,1.4
2023,3,12,5.8,6.22,1.73,0.66,363.99,107.12,107.04,13.12,0.31,1.58,34.87,17.25,5.8,29.94,98.74,3.34,1.02
2023,3,13,5.01,3.73,2.59,0.57,366.35,91.37,101.61,11.12,0.27,1.33,31.41,20.78,6.35,31.94,98.61,2.09,0.09
2023,3,14,5.62,5.63,1.91,0.63,370.48,102.98,102.88,12.4,0.27,1.35,34.86,17.72,6.53,34.56,98.32,3.85,0.69
2023,3,15,5.38,3.79,2.9,0.6,369.05,97.06,104.76,11.79,0.27,1.35,34.75,17.94,6.35,31.44,98.22,2.68,0.61
2023,3,16,3.76,1.65,2.68,0.42,396.0,67.92,87.27,7.91,0.17,0.88,33.26,19.46,6.96,36.75,98.31,5.95,1.91
2023,3,17,3.4,1.69,2.29,0.38,387.91,60.57,81.0,6.97,0.16,0.78,29.62,19.79,8.61,46.25,98.5,3.1,1.02
2023,3,18,2.81,1.05,2.09,0.31,402.93,52.91,93.44,6.52,0.15,0.73,27.12,18.43,9.95,61.38,98.42,3.42,0.84
2023,3,19,4.26,2.62,2.38,0.47,380.77,79.09,97.7,9.73,0.21,1.07,29.19,17.32,9.64,56.75,98.19,3.1,0.26
2023,3,20,2.73,0.93,2.1,0.3,382.16,51.55,89.16,6.39,0.13,0.67,23.73,16.44,10.68,73.69,98.07,1.9,0.11
2023,3,21,4.04,2.57,2.33,0.44,370.4,74.46,97.62,8.99,0.19,0.95,26.87,15.48,10.07,69.06,98.18,3.38,0.52
2023,3,22,5.15,3.95,2.32,0.55,354.8,92.77,106.15,11.41,0.26,1.3,29.31,15.29,8.85,55.56,98.36,3.41,0.8
2023,3,23,6.13,6.17,1.92,0.66,348.65,111.27,111.15,13.57,0.3,1.55,31.37,16.84,8.67,49.69,98.18,3.16,1.76
2023,3,24,3.18,1.94,1.91,0.34,393.93,61.51,110.21,7.84,0.18,0.91,31.28,17.08,9.95,53.44,98.16,5.5,1.27
2023,3,25,5.68,4.8,2.37,0.6,374.27,106.49,115.05,13.28,0.31,1.57,30.29,16.83,10.07,60.62,98.39,3.51,0.75
2023,3,26,5.95,4.68,2.53,0.62,360.84,108.4,109.52,13.17,0.28,1.42,31.66,15.65,8.24,49.56,98.45,4.49,2.21
2023,3,27,6.26,5.84,2.2,0.66,348.39,114.2,114.2,13.99,0.3,1.49,30.6,14.64,7.2,46.12,98.38,5.35,2.24
2023,3,28,6.64,7.1,1.96,0.7,347.84,122.49,124.05,15.35,0.35,1.75,32.39,15.49,7.08,41.62,98.32,4.62,1.41
2023,3,29,5.41,2.96,3.31,0.56,375.29,100.05,114.98,12.5,0.3,1.52,33.67,17.35,7.69,40.19,98.33,2.96,0.37
2023,3,30,5.2,3.54,2.55,0.54,393.44,95.46,104.47,11.58,0.27,1.36,33.84,18.56,9.34,51.06,98.14,7.21,1.18
2023,3,31,4.76,2.51,2.81,0.49,387.1,89.91,109.23,11.35,0.27,1.32,26.1,17.26,11.35,72.19,98.19,3.22,0.58
2023,4,1,6.1,5.32,2.27,0.62,363.49,115.24,123.48,14.7,0.33,1.66,28.57,16.41,10.25,62.31,98.23,4.1,1.45
2023,4,2,5.76,4.0,3.22,0.59,366.2,108.07,124.43,13.76,0.32,1.61,31.62,17.42,9.46,52.56,98.13,4.07,0.09
2023,4,3,6.3,6.03,1.93,0.64,376.3,118.59,122.81,14.99,0.38,1.95,33.78,17.84,9.77,49.25,97.96,2.99,0.07
2023,4,4,6.44,6.08,2.06,0.65,375.18,120.98,125.87,15.34,0.38,1.91,31.85,18.87,9.83,53.19,98.2,5.25,0.55
2023,4,5,7.0,7.58,1.75,0.7,347.06,128.8,128.37,16.2,0.38,1.91,33.42,16.37,8.06,45.5,98.31,4.09,2.45
2023,4,6,6.88,7.01,1.82,0.69,358.22,127.38,129.96,16.17,0.38,1.86,34.0,16.58,7.02,37.56,98.51,7.27,2.98
2023,4,7,7.31,8.61,1.51,0.73,327.59,130.83,131.75,16.45,0.37,-999.0,34.57,16.3,6.04,34.75,98.7,5.99,3.03
2023,4,8,7.05,7.35,1.86,0.7,345.35,128.52,128.43,16.08,0.4,2.04,35.33,14.88,5.13,30.44,98.76,5.05,1.07
2023,4,9,6.89,7.33,1.87,0.68,350.51,126.12,129.34,15.74,0.36,-999.0,35.66,18.09,5.68,29.81,98.69,3.76,1.18
2023,4,10,6.86,6.72,2.39,0.68,346.05,123.73,130.87,15.55,0.38,1.88,35.94,16.49,6.1,32.12,98.51,5.88,1.19
2023,4,11,7.01,7.41,1.79,0.69,358.29,128.48,130.02,16.07,0.38,-999.0,37.08,19.9,6.96,32.62,98.45,6.36,1.84
2023,4,12,6.47,5.5,2.52,0.63,382.32,120.2,127.42,15.06,0.36,1.8,38.4,22.48,8.85,36.81,98.41,5.02,2.45
2023,4,13,6.64,6.38,2.17,0.65,372.25,121.9,126.63,15.09,0.34,-999.0,38.99,20.3,7.87,35.06,98.25,4.32,1.88
2023,4,14,6.75,5.45,2.7,0.66,370.08,122.33,128.94,15.38,0.38,1.9,38.94,20.08,6.96,28.88,98.17,3.27,0.41
2023,4,15,7.14,7.03,2.03,0.7,369.02,129.51,129.84,16.16,0.38,1.93,40.65,24.01,6.59,24.56,98.09,3.22,0.43
2023,4,16,6.66,5.25,2.68,0.65,386.24,121.3,126.49,15.23,0.38,1.9,40.73,24.61,7.87,28.56,97.97,4.29,0.71
2023,4,17,7.28,7.86,1.7,0.7,386.85,135.96,136.25,17.25,0.43,2.17,41.16,22.58,7.2,25.94,97.97,3.41,1.67
2023,4,18,7.08,7.22,1.92,0.68,410.08,134.65,137.27,17.21,0.42,2.13,40.35,24.33,8.85,31.31,98.1,4.44,2.4
2023,4,19,6.49,4.23,3.23,0.62,404.31,121.79,131.62,15.47,0.38,1.95,37.82,24.02,9.64,36.88,97.85,4.38,1.83
2023,4,20,6.14,3.85,3.16,0.59,414.88,115.99,127.59,14.56,0.35,1.78,36.88,23.73,9.95,39.44,97.6,3.79,1.66
2023,4,21,6.34,4.15,3.2,0.6,385.12,114.27,124.45,14.05,0.34,1.74,36.95,20.79,7.57,34.44,97.68,3.66,1.09
2023,4,22,7.19,6.8,2.23,0.68,362.75,129.41,132.06,16.15,0.41,2.09,36.73,19.12,6.53,30.94,97.82,4.83,0.27
2023,4,23,4.35,2.11,2.92,0.41,393.42,82.7,129.08,10.56,0.26,1.28,32.53,19.87,6.9,33.62,98.03,6.55,0.49
2023,4,24,5.79,3.72,3.02,0.55,386.1,107.03,124.48,13.23,0.33,1.67,35.4,18.76,7.26,35.25,98.31,3.83,1.38
2023,4,25,6.55,4.84,2.75,0.62,377.99,118.54,123.02,14.41,0.36,1.84,35.35,19.44,7.14,32.25,98.42,5.58,1.43
2023,4,26,5.78,2.83,3.77,0.54,393.66,105.13,120.67,12.55,0.32,1.6,35.99,21.8,7.75,30.12,98.11,2.39,0.12
2023,4,27,5.42,2.91,3.25,0.51,404.68,93.05,101.25,10.54,0.24,1.22,37.23,24.12,7.63,30.31,98.03,4.61,0.3
2023,4,28,3.48,1.25,2.62,0.33,415.09,65.32,111.27,7.91,0.19,0.92,34.37,21.15,8.48,36.88,98.22,3.3,0.2
2023,4,29,3.73,1.32,2.77,0.34,417.21,71.26,115.54,8.81,0.23,1.12,33.01,22.26,9.77,43.88,98.09,6.9,1.21
2023,4,30,3.41,1.29,2.45,0.32,416.97,66.3,116.62,8.6,0.21,1.05,32.8,20.79,11.17,53.94,98.01,4.41,0.71
2023,5,1,2.2,0.77,1.67,0.2,402.99,46.41,121.33,6.19,0.15,0.74,28.33,20.58,12.39,66.81,98.06,4.38,1.48
2023,5,2,3.65,1.49,2.56,0.34,402.18,68.94,108.77,8.49,0.21,1.05,26.58,20.3,13.49,76.81,98.2,4.45,1.21
2023,5,3,3.77,2.1,2.07,0.35,397.97,68.98,111.86,8.38,0.21,1.06,30.55,18.58,12.57,67.56,98.3,3.08,0.53
2023,5,4,6.53,5.23,2.55,0.6,390.56,119.56,121.2,14.4,0.35,1.8,33.62,19.55,10.93,52.25,98.24,2.33,0.99
2023,5,5,6.08,3.94,3.14,0.56,398.56,111.82,119.41,13.28,0.35,1.82,33.12,22.25,9.95,42.75,98.09,6.0,0.69
2023,5,6,5.78,4.51,2.6,0.53,403.29,107.34,122.45,12.92,0.34,1.8,37.24,21.15,10.13,40.56,97.89,5.68,1.16
2023,5,7,6.51,5.13,2.72,0.59,406.69,122.51,131.2,15.2,0.42,2.22,39.13,23.36,9.28,35.06,97.77,5.04,1.16
2023,5,8,6.9,5.72,2.54,0.63,396.57,128.41,137.89,16.27,0.46,2.43,38.92,23.48,6.16,25.19,97.69,3.7,0.26
2023,5,9,7.12,6.76,2.31,0.65,361.56,130.27,135.55,16.12,0.42,-999.0,38.47,19.92,5.98,27.0,97.97,5.98,3.45
2023,5,10,7.68,8.09,1.7,0.7,359.63,140.38,145.51,18.01,0.51,2.66,38.4,19.3,5.37,24.88,97.95,5.89,2.91
2023,5,11,7.71,7.8,1.97,0.7,372.23,139.74,139.8,17.45,0.45,2.36,39.76,19.96,5.13,21.06,97.98,3.18,0.35
2023,5,12,7.51,7.54,1.94,0.68,385.6,139.63,139.18,17.48,0.44,2.27,41.63,25.73,5.31,18.62,97.86,3.48,0.3
2023,5,13,7.07,5.96,2.59,0.64,400.92,128.97,131.96,15.84,0.4,2.05,42.39,22.22,6.71,23.44,97.77,3.54,1.25
2023,5,14,6.43,4.02,3.3,0.58,420.5,116.85,124.01,14.0,0.35,1.79,41.31,27.93,7.14,21.75,97.51,5.31,0.59
2023,5,15,7.2,6.4,2.35,0.65,420.5,133.8,134.45,16.56,0.41,2.12,42.83,25.29,7.45,23.75,97.47,5.59,2.98
2023,5,16,5.94,2.78,3.89,0.54,431.71,109.02,126.77,13.15,0.34,1.73,40.38,27.03,8.36,26.75,97.68,6.73,3.62
2023,5,17,5.63,3.41,2.77,0.51,439.29,106.88,131.32,13.37,0.38,1.95,41.98,26.48,9.89,29.69,97.8,4.93,2.27
2023,5,18,6.77,4.59,3.14,0.61,445.98,129.95,137.35,16.44,0.45,2.37,38.33,26.19,11.84,40.94,98.18,6.56,2.59
2023,5,19,7.51,7.03,2.23,0.67,412.84,142.62,144.16,18.14,0.48,2.46,39.41,23.99,9.28,33.88,97.97,7.54,3.02
2023,5,20,7.71,7.17,2.22,0.7,405.65,144.1,145.14,18.4,0.5,2.59,41.58,24.77,8.06,27.0,97.74,7.66,1.61
2023,5,21,6.9,5.58,2.71,0.62,429.52,130.48,136.88,16.27,0.41,-999.0,44.0,26.32,7.93,23.88,97.74,5.76,1.91
2023,5,22,7.22,5.51,2.89,0.65,455.74,137.38,138.49,17.29,0.45,2.35,44.88,28.23,8.97,24.19,97.77,8.88,3.09
2023,5,23,6.78,4.41,3.39,0.61,452.9,129.55,136.86,16.23,0.45,2.34,45.26,29.06,10.01,25.69,97.74,7.74,2.67
2023,5,24,4.56,1.68,3.3,0.41,454.24,89.8,136.44,11.59,0.33,1.66,40.86,28.9,11.23,32.19,97.79,5.43,1.12
2023,5,25,6.57,4.54,3.06,0.59,434.04,125.59,133.66,15.71,0.43,2.24,38.71,28.98,11.9,37.5,97.78,4.29,0.31
2023,5,26,6.63,4.59,2.99,0.59,423.09,126.52,137.41,16.12,0.47,2.48,34.29,25.69,14.83,58.06,97.9,5.1,1.34
2023,5,27,5.37,3.9,2.35,0.48,425.89,104.07,128.95,13.04,0.39,2.05,35.79,25.01,14.47,54.62,97.87,7.2,1.11
2023,5,28,5.73,2.69,3.72,0.51,415.77,104.59,117.77,12.42,0.35,1.81,34.36,25.2,13.43,51.69,97.99,4.1,0.23
2023,5,29,4.9,3.08,2.46,0.44,428.13,92.37,129.77,11.75,0.34,1.81,34.83,25.59,13.79,53.88,98.12,3.26,1.08
2023,5,30,6.6,4.91,2.79,0.59,423.88,125.76,133.48,15.78,0.45,2.42,35.67,24.39,13.12,50.94,98.15,3.7,1.3
2023,5,31,6.33,4.32,2.93,0.56,414.33,122.03,136.95,15.45,0.45,2.41,32.17,22.05,13.49,61.5,98.04,5.95,2.83
2023,6,1,5.75,6.52,2.79,0.51,412.34,110.83,142.54,14.35,0.42,2.22,36.24,21.11,12.21,51.06,97.97,5.97,0.13
2023,6,2,7.33,6.25,2.46,0.65,417.84,139.84,143.05,17.74,0.48,2.55,36.06,22.92,12.39,49.62,97.89,5.1,2.39
2023,6,3,7.35,6.0,2.67,0.65,421.45,138.0,142.52,17.38,0.47,2.43,37.48,23.35,10.8,41.94,97.9,5.83,2.23
